TiNbZrCu_9	
2θ, °	Intensity, counts
41.76	2253.67
41.78	2250.352
41.8	2188.321
41.82	2269.025
41.84	2212.029
41.86	2178.42
41.88	2139.054
41.9	2141.132
41.92	2170.363
41.94	2297.959
41.96	2233.842
41.98	2221.836
42	2211.34
42.02	2223.003
42.04	2197.147
42.06	2226.88
42.08	2169.544
42.1	2145.598
42.12	2192.466
42.14	2146.926
42.16	2190.771
42.18	2183.26
42.2	2246.528
42.22	2215.066
42.24	2182.332
42.26	2224.779
42.28	2268.023
42.3	2234.059
42.32	2178.404
42.34	2237.68
42.36	2247.699
42.38	2170.857
42.4	2171.399
42.42	2153.316
42.44	2140.674
42.46	2208.972
42.48	2203.58
42.5	2117.299
42.52	2169.397
42.54	2048.511
42.56	2121.941
42.58	2201.229
42.6	2187.865
42.62	2158.168
42.64	2133.404
42.66	2086.578
42.68	2142.878
42.7	2178.516
42.72	2193.563
42.74	2164.838
42.76	2171.874
42.78	2118.701
42.8	2149.671
42.82	2071.249
42.84	2135.519
42.86	2095.913
42.88	2082.133
42.9	2139.183
42.92	2076.071
42.94	2099.651
42.96	2105.222
42.98	2117.864
43	2110.6
43.02	2109.403
43.04	2031.78
43.06	2080.05
43.08	2168.475
43.1	2052.243
43.12	2074.487
43.14	2043.443
43.16	2156.247
43.18	1951.487
43.2	2122.559
43.22	2046.484
43.24	2059.004
43.26	2013.76
43.28	2167.259
43.3	2084.525
43.32	2134.039
43.34	2061.039
43.36	2062.848
43.38	2061.114
43.4	2141.372
43.42	2040.195
43.44	2099.08
43.46	2011.766
43.48	2013.054
43.5	2028.786
43.52	2074.402
43.54	2098.985
43.56	2133.388
43.58	2083.504
43.6	2011.37
43.62	2055.239
43.64	2008.014
43.66	2042.458
43.68	2123.698
43.7	2073.836
43.72	2114.536
43.74	2034.373
43.76	2045.919
43.78	2049.29
43.8	2020.524
43.82	1966.231
43.84	2054.261
43.86	2054.585
43.88	2038.314
43.9	2050.955
43.92	2086.135
43.94	2085.808
43.96	1951.066
43.98	2016.111
44	1986.264
44.02	1907.916
44.04	2003.658
44.06	2066.896
44.08	1950.834
44.1	2045.28
44.12	2044.168
44.14	2091.175
44.16	1914.328
44.18	2020.302
44.2	2023.62
44.22	1985.607
44.24	2101.565
44.26	1961.559
44.28	2030.261
44.3	1993.107
44.32	2094.692
44.34	1969.359
44.36	1989.128
44.38	2040.4
44.4	2022.301
44.42	1978.521
44.44	1962.723
44.46	2036.928
44.48	1943.275
44.5	1929.455
44.52	2076.841
44.54	1969.349
44.56	1978.608
44.58	1908.871
44.6	2049.236
44.62	2071.788
44.64	1985.359
44.66	1963.954
44.68	1974.035
44.7	1980.157
44.72	1936.673
44.74	1979.438
44.76	2023.626
44.78	1940.916
44.8	1990.903
44.82	1928.758
44.84	1984.148
44.86	1940.908
44.88	2003.758
44.9	1935.666
44.92	2001.957
44.94	1982.087
44.96	1977.92
44.98	1954.632
45	1934.87
45.02	1938.945
45.04	1909.496
45.06	1921.807
45.08	1897.851
45.1	1942.012
45.12	1956.318
45.14	1936.1
45.16	1846.801
45.18	1861.422
45.2	1932.302
45.22	1967.072
45.24	1931.598
45.26	1982.888
45.28	1972.335
45.3	1923.107
45.32	1874.414
45.34	1888.628
45.36	1872.419
45.38	1866.023
45.4	2018.886
45.42	1909.329
45.44	1917.798
45.46	1885.598
45.48	1994.219
45.5	1907.774
45.52	1858.306
45.54	1855.321
45.56	1926.979
45.58	1816.682
45.6	1929.026
45.62	1900.036
45.64	1946.179
45.66	1887.861
45.68	1969.15
45.7	1965.848
45.72	1964.944
45.74	1933.523
45.76	1875.26
45.78	1821.757
45.8	1812.12
45.82	1863.422
45.84	1926.89
45.86	1939.112
45.88	1859.016
45.9	1878.607
45.92	1847.969
45.94	1937.418
45.96	1902.037
45.98	1873.565
46	1896.569
46.02	1877.777
46.04	1816.379
46.06	1850.2
46.08	1852.594
46.1	1883.246
46.12	1825.828
46.14	1887.217
46.16	1887.506
46.18	1857.58
46.2	1921.708
46.22	1879.527
46.24	2003.499
46.26	1865.084
46.28	1800.464
46.3	1889.797
